,003ba30e1374a6ea2cfed3594df32399,"market for hazardous waste, for incineration",Europe without Switzerland,-7.10493e-05,kilogram,cutoff38,f16ebe0cf00906d23646f15369313fe6,"treatment of low level radioactive waste, plasma torch incineration",CH,-0.09,cubic meter
99,12dc0052059ada76fa027edf0012a470,"treatment of waste paperboard, municipal incineration",RoW,-0.61001052803803,kilogram,cutoff38,,,,,
100,12e74b5af3b1274927a29dbcd1a8a686,"treatment of waste plastic, mixture, municipal incineration",RoW,-0.0004991,kilogram,cutoff38,,,,,
101,13277ac7846aa9c1f3473d9ea434ef5a,"market for hazardous waste, for incineration",CH,-0.152841200208363,kilogram,cutoff38,,,,,
102,13277ac7846aa9c1f3473d9ea434ef5a,"market for hazardous waste, for incineration",Europe without Switzerland,-5.84715879979164,kilogram,cutoff38,,,,,
103,13291d76086a7b344aacf2a7bd86c1c7,"market for hazardous waste, for incineration",CH,-0.000303812517172,kilogram,cutoff38,,,,,
104,136291d2d3cfc73616c83dcfd5d4ffa6,"market for hazardous waste, for incineration",Europe without Switzerland,-0.0002755521753824,kilogram,cutoff38,,,,,
105,14132cda68e93df468877f3bbb88aea2,"market for hazardous waste, for incineration",RoW,-0.000322984387457,kilogram,cutoff38,,,,,
106,14620b46a0685c5688cbc651b201fe8b,"market for hazardous waste, for incineration",RoW,-0.033138610199753,kilogram,cutoff38,,,,,
107,14aa6c08095d9d2dde98e519a6fc5ab5,"market for hazardous waste, for incineration",Europe without Switzerland,-0.0002196149171065,kilogram,cutoff38,,,,,
108,14effc1e6196efe09b1d175bb459e678,"treatment of waste paperboard, municipal incineration",RoW,-0.256386189641601,kilogram,cutoff38,,,,,
109,1518999d1782361d5cf871bc17394e1b,"market for hazardous waste, for incineration",RoW,-0.0003129720837605,kilogram,cutoff38,,,,,
110,15593eafe729929319f64b39b4555a0c,"treatment of waste polyurethane, municipal incineration",RoW,-0.670191344336828,kilogram,cutoff38,,,,,
111,157885d82142945eb15abcf61c28c69d,"market for hazardous waste, for incineration",Europe without Switzerland,-0.77014273227315,kilogram,cutoff38,,,,,
112,157885d82142945eb15abcf61c28c69d,"market for hazardous waste, for incineration",CH,-0.0201310659694364,kilogram,cutoff38,,,,,
113,15ef03ba062ef1b356805fbb540eb286,"market for hazardous waste, for incineration",RoW,-0.0002796215435651,kilogram,cutoff38,,,,,
114,15f771bad44e82f082231000ef96b05b,"market for hazardous waste, for incineration",CH,-141.811160259993,kilogram,cutoff38,,,,,
115,15f771bad44e82f082231000ef96b05b,"market for hazardous waste, for incineration",Europe without Switzerland,-5425.18883974001,kilogram,cutoff38,,,,,
116,16eaf3c07bafa50448e8fd0ef871099c,"market for hazardous waste, for incineration",RoW,-1.29866161284129e-05,kilogram,cutoff38,,,,,
117,1722a1267e2b783229b28922fdabe494,"market for hazardous waste, for incineration",Europe without Switzerland,-0.0068216852664235,kilogram,cutoff38,,,,,
118,1722a1267e2b783229b28922fdabe494,"market for hazardous waste, for incineration",CH,-0.0001783147335764,kilogram,cutoff38,,,,,
119,172eda527a0e9a64f8cf0f1c54ca33bd,"market for hazardous waste, for incineration",RoW,-0.0002964699866325,kilogram,cutoff38,,,,,
120,1730d992c11d6316890a4d0a0f275720,"market for hazardous waste, for incineration",Europe without Switzerland,-9.7e-07,kilogram,cutoff38,,,,,
121,17397304553ec0090a9cc58d72f0c941,"treatment of waste polystyrene, municipal incineration",RoW,-0.247338467815546,kilogram,cutoff38,,,,,
122,174ad17c5a809a8d33ec66d3f48e0f89,"treatment of waste graphical paper, municipal incineration with fly ash extraction",CH,-0.0155,kilogram,cutoff38,,,,,
123,174ccec43f88dcb3994fb2f049b81128,"treatment of waste plastic, mixture, municipal incineration",RoW,-3.32291665693686e-08,kilogram,cutoff38,,,,,
124,174ccec43f88dcb3994fb2f049b81128,"treatment of municipal solid waste, incineration",ES,-0.0004408129110218,kilogram,cutoff38,,,,,
125,174ccec43f88dcb3994fb2f049b81128,"market for hazardous waste, for incineration",CH,-9.62071112524091e-08,kilogram,cutoff38,,,,,
126,174ccec43f88dcb3994fb2f049b81128,"market for hazardous waste, for incineration",Europe without Switzerland,-3.68054069449316e-06,kilogram,cutoff38,,,,,
127,174ccec43f88dcb3994fb2f049b81128,"market for hazardous waste, for incineration",RoW,-7.65350279827047e-06,kilogram,cutoff38,,,,,
128,176349d64efef1ee014e7b880f868d0b,"treatment of waste polystyrene, municipal incineration",RoW,-0.0392054053825304,kilogram,cutoff38,,,,,
129,176481d6f39c90b8b7f9a3ed5e367bb1,"treatment of hazardous waste, hazardous waste incineration, with energy recovery",Europe without Switzerland,-0.5,kilogram,cutoff38,,,,,
130,176481d6f39c90b8b7f9a3ed5e367bb1,"treatment of hazardous waste, hazardous waste incineration",Europe without Switzerland,-0.5,kilogram,cutoff38,,,,,
131,177fe86373e4a051f6ad3adf6cf26039,"market for hazardous waste, for incineration",Europe without Switzerland,-0.233671956169006,kilogram,cutoff38,,,,,
132,177fe86373e4a051f6ad3adf6cf26039,"market for hazardous waste, for incineration",CH,-0.0061080438309935,kilogram,cutoff38,,,,,
133,179217aa77483c9738cb47fee4f19ff2,"market for hazardous waste, for incineration",Europe without Switzerland,-363.86,kilogram,cutoff38,,,,,
134,179217aa77483c9738cb47fee4f19ff2,"market for hazardous waste, for incineration",CH,-9.51108068243275,kilogram,cutoff38,,,,,
135,179217aa77483c9738cb47fee4f19ff2,"market for hazardous waste, for incineration",RoW,-756.628919317567,kilogram,cutoff38,,,,,
136,17cfaed7dc0a820dcb7cb9abbc229a0e,"treatment of waste glass, municipal incineration",RoW,-0.917668515874329,kilogram,cutoff38,,,,,
137,17df4eb0cfeaf7bb4d79de81b339923d,"treatment of waste polyethylene, municipal incineration",RoW,-0.648037776664191,kilogram,cutoff38,,,,,
138,17ea098308af00dd19bc6d4a0802d2c6,"market for hazardous waste, for incineration",RoW,-0.011966,kilogram,cutoff38,,,,,
139,180d830ce7c4bd691a9f36a2ad2e637a,"treatment of waste paperboard, municipal incineration",RoW,-0.980653482373173,kilogram,cutoff38,,,,,
140,1855e6b80f9c6ffd226666d7addf804b,"treatment of waste polyethylene terephthalate, municipal incineration",RoW,-0.993763892319091,kilogram,cutoff38,,,,,
141,18aa9ce2ddae9c96d6e9973f459f032e,"treatment of waste glass, municipal incineration with fly ash extraction",CH,-0.98999922959431,kilogram,cutoff38,,,,,
142,18e28632bcebc51811e227002b9a779a,"treatment of waste polyethylene terephthalate, municipal incineration",RoW,-0.0392054053825304,kilogram,cutoff38,,,,,
143,18f8897572172655ca9a22af311d8977,"market for hazardous waste, for incineration",RoW,-0.0245,kilogram,cutoff38,,,,,
144,1910e5cc1589734a6577c602ab8b0b53,"market for hazardous waste, for incineration",Europe without Switzerland,-0.0008186022319708,kilogram,cutoff38,,,,,
145,1910e5cc1589734a6577c602ab8b0b53,"market for hazardous waste, for incineration",CH,-2.13977680291708e-05,kilogram,cutoff38,,,,,
146,194e00efbeb081f9ff3e737a4bb29aa2,"treatment of waste plastic, mixture, municipal incineration",RoW,-4.86845928807028e-07,kilogram,cutoff38,,,,,
147,194e00efbeb081f9ff3e737a4bb29aa2,"treatment of municipal solid waste, incineration",ES,-0.006458421719622,kilogram,cutoff38,,,,,
148,194e00efbeb081f9ff3e737a4bb29aa2,"market for hazardous waste, for incineration",CH,-1.40954604858181e-06,kilogram,cutoff38,,,,,
149,194e00efbeb081f9ff3e737a4bb29aa2,"market for hazardous waste, for incineration",Europe without Switzerland,-5.39242008728068e-05,kilogram,cutoff38,,,,,
150,194e00efbeb081f9ff3e737a4bb29aa2,"market for hazardous waste, for incineration",RoW,-0.0001121327154165,kilogram,cutoff38,,,,,
151,1952c38bea558291303465db29110983,"market for hazardous waste, for incineration",CH,-0.001155401988549,kilogram,cutoff38,,,,,
152,1952c38bea558291303465db29110983,"market for hazardous waste, for incineration",Europe without Switzerland,-0.0442015562258811,kilogram,cutoff38,,,,,
153,198466a6dbaa3030933674ad3b354927,"treatment of waste polypropylene, municipal incineration",RoW,-0.296770319615218,kilogram,cutoff38,,,,,
154,199043e79c95a16158a4ed987e6d0ac5,"market for hazardous waste, for incineration",RoW,-8.36404503349334e-06,kilogram,cutoff38,,,,,
155,19bea7ef78fb0f6235c64bbeb49683ef,"market for hazardous waste, for incineration",RoW,-0.0003117727847767,kilogram,cutoff38,,,,,
156,19c62e3ac39bdfe5052165510ab58c82,"treatment of municipal solid waste, incineration",DE,-0.993764,kilogram,cutoff38,,,,,
157,1a504693543eea8c49fd62728bbf336e,"market for hazardous waste, for incineration",RoW,-0.000296245049733,kilogram,cutoff38,,,,,
158,1a66f71b9014967127b58844868b812b,"market for hazardous waste, for incineration",RoW,-0.012708,kilogram,cutoff38,,,,,
159,1a8a962d53a2a2fa6ea83c9196f3213f,"treatment of waste polyurethane, municipal incineration",RoW,-0.987663173459344,kilogram,cutoff38,,,,,
160,1a8eb0458048fce9df0327a373a5f7f7,"treatment of waste glass, municipal incineration",RoW,-0.670191344336828,kilogram,cutoff38,,,,,
161,1ab411d40ad9bb0fe3ab0aa16966443d,"treatment of waste wood, untreated, municipal incineration",RoW,-0.0625465376023827,kilogram,cutoff38,,,,,
162,1b2fe1d322026dbdefeaa4f655d8da3c,"market for hazardous waste, for incineration",RoW,-3.3e-05,kilogram,cutoff38,,,,,
163,1b4a4aa87531648c7eebae05c054092b,"treatment of waste polypropylene, municipal incineration",RoW,-0.917668515874329,kilogram,cutoff38,,,,,
